folder,created,modified,size,source,reason
__Repositories_nxtcld,2025-02-19 13:05:03,2024-12-15 08:54:38,6.00 KB,/Users/user/NextCloud2_0,larger
files_my,2025-02-19 13:05:05,2025-02-19 13:05:05,2.89 GB,/Users/user/NextCloud2_0,larger
temp,2025-02-19 13:05:05,2025-02-19 13:05:05,938.75 MB,/Users/user/NextCloud2_0,larger
___PARA_nxtcld,2025-02-19 13:05:03,2025-02-19 13:05:03,44.72 MB,/Users/user/NextCloud2_0,larger
